Player,Pos,3P,TRB,BLK
Karl-Anthony Towns,C,1.2,12.3,1.3
Dewayne Dedmon,C,0.0,6.5,0.8
Will Barton,SG,1.5,4.3,0.5
Manu Ginobili,SG,1.3,2.3,0.2
Ben McLemore,SG,1.1,2.1,0.1
A.J. Hammons,C,0.2,1.6,0.6
Willie Reed,C,0.0,4.7,0.7
Iman Shumpert,SG,1.2,2.9,0.4
Anthony Davis,C,0.5,11.8,2.2
DeMarcus Cousins,C,1.8,11.0,1.3
Marcus Smart,SG,1.2,3.9,0.4
Justin Holiday,SG,1.2,2.7,0.4
Willie Cauley-Stein,C,0.0,4.5,0.6
Myles Turner,C,0.5,7.3,2.1
Justin Hamilton,C,0.9,4.1,0.7
John Henson,C,0.0,5.1,1.3
Tony Snell,SG,1.8,3.1,0.2
J.R. Smith,SG,2.3,2.8,0.3
C.J. McCollum,SG,2.3,3.6,0.5
Tarik Black,C,0.0,5.1,0.7
Channing Frye,C,1.9,3.9,0.5
Garrett Temple,SG,1.3,2.8,0.4
Troy Daniels,SG,2.1,1.5,0.1
Brook Lopez,C,1.8,5.4,1.7
Kosta Koufos,C,0.0,5.7,0.7
Montrezl Harrell,C,0.0,3.8,0.7
Nene Hilario,C,0.0,4.2,0.6
Marc Gasol,C,1.4,6.3,1.3
Robin Lopez,C,0.0,6.4,1.4
Rudy Gobert,C,0.0,12.8,2.6
Nik Stauskas,SG,1.7,2.8,0.4
Josh Richardson,SG,1.4,3.2,0.7
Jamal Murray,SG,1.4,2.6,0.3
DeAndre Jordan,C,0.0,13.8,1.7
Timofey Mozgov,C,0.0,4.9,0.6
Dion Waiters,SG,1.8,3.3,0.4
Steven Adams,C,0.0,7.7,1.0
Denzel Valentine,SG,1.3,2.6,0.1
Buddy Hield,SG,1.8,3.3,0.1
Edy Tavares,C,0.0,5.5,3.0
Allen Crabbe,SG,1.7,2.9,0.3
Austin Rivers,SG,1.5,2.2,0.1
Marcin Gortat,C,0.0,10.4,0.7
Joe Harris,SG,1.6,2.8,0.2
Dwight Howard,C,0.0,12.7,1.2
Wayne Ellington,SG,2.4,2.1,0.1
Bradley Beal,SG,2.9,3.1,0.3
Dwyane Wade,SG,0.8,4.5,0.7
Marreese Speights,C,1.3,4.5,0.5
Wesley Matthews,SG,2.4,3.5,0.2
Danny Green,SG,1.7,3.3,0.8
Jordan Clarkson,SG,1.4,3.0,0.1
Zach LaVine,SG,2.6,3.4,0.2
Roy Hibbert,C,0.0,3.2,1.0
Pau Gasol,C,0.9,7.8,1.1
Hassan Whiteside,C,0.0,14.1,2.1
Jodie Meeks,SG,1.6,2.1,0.1
Alex Abrines,SG,1.4,1.3,0.1
Al Horford,C,1.3,6.8,1.3
Chris Andersen,C,0.0,2.6,0.6
Nikola Jokic,C,0.6,9.8,0.8
Courtney Lee,SG,1.4,3.4,0.3
Bismack Biyombo,C,0.0,7.0,1.1
Tim Hardaway,SG,1.9,2.8,0.2
Sean Kilpatrick,SG,1.5,4.0,0.1
Salah Mejri,C,0.0,4.2,0.8
Clint Capela,C,0.0,8.1,1.2
Evan Fournier,SG,1.9,3.1,0.1
Kentavious Caldwell-Pope,SG,2.0,3.3,0.2
Alexis Ajinca,C,0.0,4.5,0.6
Ian Mahinmi,C,0.0,4.8,0.8
Jonas Valanciunas,C,0.0,9.5,0.8
Alex Len,C,0.0,6.6,1.3
Rodney Hood,SG,1.9,3.4,0.2
Mason Plumlee,C,0.0,7.5,1.1
Devin Booker,SG,1.9,3.2,0.3
Richaun Holmes,C,0.5,5.5,1.0
Joel Embiid,C,1.2,7.8,2.5
Lou Williams,SG,2.0,2.5,0.2
Eric Gordon,SG,3.3,2.7,0.5
